id,pillar,question,why_it_matters,target_source,retrieval_method,priority,status,owner,opened,resolved_date,notes,fact_status,source_id,confidence,as_of_date
69,C,"Read the political donation disclosure filed on SSD-10330 (Roberts Road Data Centre, applicant Canberra Data Centres Pty Ltd), and survey every political donation disclosure across the 46 NSW data centre SSD records.","The NSW inquiry's terms of reference (h)(iv) expressly covers 'the impact of lobbying and donations on government policy setting surrounding data centre developments'. This is the only donation document located in the entire 63-project register, and it is published only as a scanned image with no extractable text - so a statutory disclosure is effectively unsearchable. If disclosures exist across the register, OCR plus the NSW Electoral Commission's donation register would produce the first dataset on money and data centre policy in Australia.","The SSD-10330 attachment (public but image-only); the NSW Planning Portal attachment index at exports/nsw_planning/nsw_dc_attachment_index.csv, searchable for 'political-donation'; the NSW Electoral Commission donations register; FOI to DPHI for a machine-readable version",foi_request,4,open,,2026-09-18,,,VERIFIED,SRC_SSD10330_CONSENT,high,2026-09-18
70,B,"Check the NSW and Commonwealth lobbyist registers and ministerial diaries for meetings between AirTrunk, the BCA, Data Centres Australia, NEXTDC, Equinix and CDC and the NSW Treasurer, the Minister for Planning, the Minister for Climate Change and Energy, and DPHI and Infrastructure NSW executives, from January 2025 to date.","Board seats and submissions are the disclosed layer. The NSW package includes a DPHI concierge function and pre-assessment support that begins BEFORE a site has been selected, so the substantive influence on siting happens in meetings that leave no public trace unless a register captures them. Ministerial diary disclosures in NSW would show whether the same proponents who received concierge support also met the ministers who set the framework.",NSW lobbyist register; NSW ministerial diaries (published quarterly); the Commonwealth register of lobbyists; DPHI and Infrastructure NSW disclosure logs,manual_review,4,open,,2026-09-18,,,VERIFIED,SRC_NSWGUIDE_S3,high,2026-09-18
71,A,"Map AirTrunk's MEL2 campus, announced December 2025 as a site acquisition in Melbourne's north-west for a second Melbourne campus.","AirTrunk's Victorian footprint is currently represented in this database only by MEL1 Derrimut. MEL2 would be a second Victorian campus and its location determines whether it is in the same corridor as NEXTDC M4 Fishermans Bend, CDC Laverton, the Melton Syncline proposal or the Plumpton Victorian AI Hub - all of which are in Melbourne's west or north-west and all of which face the same recycled-water and grid constraints.",AirTrunk's December 2025 announcement; the Victorian planning register (RG-003 residual),manual_review,3,open,,2026-09-18,,,REPORTED,SRC_AIRTRUNK_BCA,medium,2026-09-18
72,B,"Obtain the full 65-record TCS contract list from the portals of record (AusTender and buy.nsw) rather than the aggregator, and identify every duplicate.","The $352.7M figure in public circulation overstates distinct spend by at least $118.3M because one contract is published on two portals. 45 of 65 records are paywalled, so the true distinct total is unknown and could be lower still. Any public claim about taxpayer funding of this firm is currently untestable without doing this.",AusTender contract notice search; buy.nsw supplier profile 75727 contract history; QTenders; Buying for Victoria,scrape_portal,2,open,,2026-09-18,,"One duplicate CONFIRMED this session (CAN-100812 = GovMarket 'Operation and Maintenance of Transport Equipment Centre of Excellence', identical to the cent, identical 29 Mar 2018 award, identical 30 Jun 2027 expiry). De-duplicated total $234,423,257.18 across 64 records.",VERIFIED,SRC_CONSENT_APPLICANTS,high,2026-09-18
73,A,"Establish which consultancy authored each technical appendix in the NSW data centre consents, by opening the documents rather than reading filenames.","The conditions in a consent are only as good as the evidence behind them. Acoustic, CFD, hydrogeological and traffic appendices set the numbers that become the conditions. 181 acoustic and noise attachments exist across 17 projects, but authorship is currently inferred from filenames in only a handful of cases. Without this, the Observatory cannot say who wrote the evidence base for the sector's amenity impacts.","data/raw/nsw_planning/consents/*.txt title pages; the 6,866-attachment index; DPHI Assessment Reports (RTS) which name report authors",manual_review,1,open,,2026-09-18,,"ADVANCED 2026-09-18. The consultancy applicants of record are now established for all 20 consents (see RG-074 note): firms holding consents in their own name are Arup (two distinct legal entities), Cundall, Lehr and Greenbox. Appendix-level authorship still requires opening the 6,866 archived attachments; filenames alone remain insufficient evidence of authorship.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
74,C,"Does any consultancy that authors technical evidence for data centre proponents also hold contracts with DPHI, the IPC, or the agencies writing the Guidelines?","If the same firms write both the proponent's evidence and the regulator's guidance, the assessment is not independent in substance even where it is procedurally correct. This is the consultancy layer's central question and it is currently unanswered.",AusTender and buy.nsw searches for DPHI/IPC/Planning; the NSW Data Centre Guidelines acknowledgement and authorship; Commonwealth Expectations authorship; IDA Round 1 advisory panel,scrape_portal,1,in_progress,,2026-09-18,,"ADVANCED 2026-09-18. All 20 Schedule 1 applicants now parse (RG-065): SEVEN consents are held by consultancies or an architectural practice - ARUP Pty Ltd (Turner Road), ARUP Australia Pty Ltd (Echidna), Cundall Johnston and Partners (Davis Road consent AND Mod 1), Lehr Consultants (Glendenning Road, Station Road), Greenbox Architecture (Lane Cove West). Cross-referenced against the tracked gov_contracts table: NONE of these firms appears - the tracked contract population is TCS-weighted (Transport for NSW, RBA, Melbourne Water, DCS, Defence, PM&C, NSWEC), so the overlap question cannot be answered from it. REMAINING: pull DPHI, IPC and Planning-portfolio contracts from AusTender and buy.nsw by AGENCY (not by supplier) and test whether Arup/Cundall/Lehr/Greenbox - or the firms authoring the technical appendices under RG-073 - hold assessment-side work.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
75,C,"Do peer reviews of acoustic and CFD evidence ever review work by the same firm, and how often is peer review commissioned at all?","Only 3 of 63 projects carry an identifiable independent peer review of acoustic evidence, against 181 acoustic attachments. Arup authored CFD modelling at 1-5 Khartoum Road and is the named applicant at 43-61 Turner Road; Cundall authored advice at Davis Road and is the named applicant there. Self-review threats need to be tested project by project.",The peer review attachments themselves: a14-acoustic-peer-review (DigiCo SYD1); peer-review-acoustic-assessment (Lane Cove West mod 3); appendix-b4-acoustic-review-statement x2 (51 Huntingwood Drive mod 1),manual_review,2,open,,2026-09-18,,Peer review confirmed to EXIST and to be rare (~5% of projects). Reviewing firms are not named in the filenames. Three documents to open.,VERIFIED,SRC_CONSENT_APPLICANTS,high,2026-09-18
76,A,"Does TCS or HyperVault have any Australian data centre footprint, application, or announced site?","TCS is a BCA member, holds at least $234.4M in Australian government IT contracts including to PM&C which houses the Office of AI, and is now a hyperscale data centre developer. If HyperVault ever seeks Australian consent, a firm represented in the policy debate becomes a regulated party in it. Establishing the current position is what makes that a documented negative rather than an assumption.",NSW planning portal; VIC Planning; QLD; TCS Australia and New Zealand site; HyperVault announcements; ASIC name searches for HyperVault entities,scrape_portal,1,open,,2026-09-18,,DOCUMENTED NEGATIVE as at 18 September 2026. The 20 November 2025 TCS press release does not mention Australia anywhere; Chairman Chandrasekaran is quoted on building 'GW-scale AI data centers in India'; The Asset reports proceeds support 'firm's GW-scale AI data centre build in India'. No Australian application located. Recheck on any HyperVault announcement.,VERIFIED,SRC_CONSENT_APPLICANTS,high,2026-09-18
77,C,"Are Jodi McKay's concurrent roles - Austrade Senior Trade and Investment Commissioner for South Asia, Director of the Australia-India CEO Forum (TCS a member), former NSW Opposition Leader - disclosed on the relevant registers, and do ministerial diaries record TCS contact?","Maps a second access channel distinct from the BCA, running through a serving Commonwealth trade commissioner. The Senate inquiry TOR covers 'deals between Government and global AI companies'; this is the kind of relationship it should be asked about.",Austrade disclosures; Australia-India CEO Forum membership and governance; Commonwealth ministerial diaries; NSW lobbyist register (RG-070); AEC donation disclosures,manual_review,3,open,,2026-09-18,,Roles CONFIRMED from Austrade's own site and Forum releases. Register and diary checks not done. Pairs with RG-070.,VERIFIED,SRC_CONSENT_APPLICANTS,high,2026-09-18
78,B,"Who commissioned and paid for the Oxford Economics research on phantom data centre demand, cited by both the BCA and Data Centres Australia?","The 44 GW to 6 GW to 2.8 GW finding is the single most important number in the demand debate and it is industry-commissioned. It cuts AGAINST the sector's interest in a large headline pipeline, so it should be credited - but the Observatory records it as commissioned research without knowing who paid. Oxford Economics also does paid work for proponents.",The Oxford Economics report 'Surging Data Centre Connection Requests Drive Phantom Demand' (21 November 2025) title page and funding disclosure; AEMO's commissioning record for the work the Guidelines cite,manual_review,2,open,,2026-09-18,,"Report cited in BCA Submission No 116, which the Observatory holds at data/raw/nsw_planning/submissions/BCA_116.pdf. The funding disclosure has not been read. The NSW Guidelines separately cite Oxford Economics work prepared FOR AEMO, which may be a different engagement - resolving whether they are the same study matters.",VERIFIED,SRC_CONSENT_APPLICANTS,high,2026-09-18
79,C,Does consent condition stringency vary by assessment officer once determination date is controlled for?,"Two officers handle 65% of the 63 NSW data centre planning records (Shaun Williams 40%, Patrick Copas 25%). Across the 20-consent battery Williams' 9 consents carry an average of 1.7 of the tracked conditions and Copas' 6 carry 1.2, with the single strictest consent (Thomas Bertwistle, Grand Avenue / Equinix SY10, 3 conditions including the only renewable PPA additionality requirement in the sample) handled by an officer with one case. Either this is officer variation or it is a time-and-proponent effect. It CANNOT CURRENTLY BE DISTINGUISHED.",Determination dates for all 20 consents in the battery (MISSING - the field parsed empty on every row); the 6 remaining unparsed Schedule 1 applicants; condition battery extended from 20 to 46 consents,manual_review,1,resolved,,2026-09-18,2026-09-18,"RESOLVED 2026-09-18. determination_date is now populated on all 20 consents (18 from the instruments' own cover-page execution lines, 2 from portal node metadata where the date is an image stamp), unblocking the officer-effect test. Matrix: exports/nsw_planning/nsw_dc_consent_determinations.csv. FINDING: at n=20 no officer effect is detectable, and the evidence says condition stringency is TEMPLATE-DOMINATED, not officer-driven: the 200-hour generator cap appears in 14 of the 17 consents that carry any cap; website disclosure in 19 of 20; the Guidelines are cited in 0 of 20 including both post-Guidelines determinations. Officer portfolios overlap completely on the documented strictness index:
  Shaun Williams: n=9, mean 6.56, range 2-14
  Patrick Copas: n=6, mean 4.5, range 1-11
  Chloe Dunlop: n=1, mean 0.0, range 0-0
  Joanna Bakopanos: n=1, mean 2.0, range 2-2
  Thomas Bertwistle: n=1, mean 4.0, range 4-4
  Dave Auster: n=1, mean 0.0, range 0-0
  Jeffrey Peng: n=1, mean 3.0, range 3-3
Within-officer variation exceeds between-officer variation (Williams' own portfolio spans the sample's strictest air-quality consent, Glendenning, to consents with no PUE/WUE/renewable provisions), and strictness is era-confounded: index scores rise steeply with determination date because PUE/WUE/renewable/recycled-water provisions only became standard in instruments from late 2024, so officer portfolios that happen to hold recent cases score higher (Williams mean 6.56 over nine cases, eight of them pre-Guidelines but mostly recent; Copas 4.50 over six spanning 2019-2026). Where conditions DO depart from template - NEXTDC S4's 5.5 t/yr NOx cap including testing, Glendenning's 170 hours, Pluto 173, Apollo 187 - the record attributes them to proponent EIS commitments (RG-061's mechanism) or site-specific assessment, not to the case officer. Structural finding retained: Williams+Copas officer 15 of 20 determined consents and both post-Guidelines determinations, and the same office (Industry Assessments, Bakopanos signing as A/Director) both manages and signs the pipeline; the new delegation under which the post-Guidelines consents were signed was executed one day after the Guidelines took effect (2026-08-18). LIMITATION: n=20 with 2 post-Guidelines observations cannot support statistical inference; internal condition-setting records are only reachable via the RG-007 FOI route.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
80,D,"Do any TCS engagements for Melbourne Water touch recycled-water supply planning, third-party water schemes, or data centre service connections?","Melbourne Water is both a TCS client (27 contracts) and the Victorian water authority whose counterparts are central to this Observatory's water findings. The NSW Guidelines require 100% recycled water for water-intensive cooling and the BCA claims recycled water already supplies 55% of AirTrunk's use (unverified, RG-068). A consultancy sitting inside a water authority's IT estate is a route into how those numbers are actually produced.",The 18 paywalled Melbourne Water contracts; Melbourne Water contract disclosures; Victorian Tenders portal; Sydney Water and Melbourne Water FOI (pairs with RG-068),foi_request,2,open,,2026-09-18,,"Not started. Ten visible Melbourne Water scopes are all conventional IT (Citrix, SolarWinds, M365, DR, GIS, cyber PM, network zone, EOL hardware) with no water-supply planning content. The GIS and network-zone engagements are the two that could plausibly touch asset and supply geography.",VERIFIED,SRC_CONSENT_APPLICANTS,high,2026-09-18
81,C,"Resolve beneficial ownership of EMKC Cubed Management Pty Ltd, HDI SYD1 Property Holdings Limited and The Trustee for NineZero DC Sub Trust I.","These three vehicles are the named applicants on FOUR NSW data centre consents, including 51 Huntingwood Drive with 632 MW of installed back-up generation - the largest in the sample - and the DigiCo SYD1 expansion in the City of Sydney. None discloses its operator on the face of the consent. This is the ownership half of the applicant-versus-proponent finding.","Paid ASIC company extracts; ABN Lookup; trust deeds are not public so the route is ASIC officer and shareholder history plus the DPHI Assessment Report for each project, which usually names the proponent",asic_search,1,open,,2026-09-18,,"Supersedes and extends RG-064, which named the same three vehicles. Now evidenced from the signed consents rather than inferred. Note EMKC holds TWO consents and 'HDI SYD1' is a per-site holding company, so the structures are deliberately site-specific.",VERIFIED,SRC_CONSENT_APPLICANTS,high,2026-09-18
82,C,"Extend the entity_type enum to include 'consultancy' and retype ARUP, LEHR, CUNDALL and the systems integrators.","Three consultancies are currently typed 'other' in the entities table, which makes them unqueryable as a class. The consultancy_profile table carries firm_type as a workaround, but the base enum should be correct so that a single query can return every consultancy in the database.",schema/01_schema.sql CHECK constraint on entities.entity_type; ALTER-and-rebuild via scripts/build_db.py,manual_review,4,open,,2026-09-18,,"SCHEMA HYGIENE. Not a research question. Logged so it is not forgotten; workaround is consultancy_profile.firm_type, which is populated for all seven firms in this pack.",VERIFIED,SRC_CONSENT_APPLICANTS,high,2026-09-18
83,B,Resolve the agency attribution and portal of record for the 'Office 365 Environment Setup for MoG GSS' contract and the three December 2024 OneStream awards.,"The aggregator attributes the O365 contract to the NSW Department of Customer Service while the title denotes a Commonwealth Machinery-of-Government change to Government Shared Services. If a widely used aggregator misattributes the buyer, then every derived claim about which government is funding what is unsafe. The three same-title OneStream awards on consecutive days may also be one scope split across notices.",AusTender and buy.nsw notice search by title; the OneStream notices' description fields,scrape_portal,3,open,,2026-09-18,,Recorded at low confidence in the contracts table. This gap exists to protect the integrity of the layer rather than to add a fact.,VERIFIED,SRC_CONSENT_APPLICANTS,high,2026-09-18
84,A,"Are SITE_MACQUARIE_PARK_DC (Macquarie Park Data Centre, SSD-10467, applicant Stockland Trust Management Limited, determined 2021-05-28) and SITE_STOCKLAND_MP (Stockland Macquarie Park Stage 1, under construction) the same project at different stages, or distinct consents?","Double-counting or splitting a Stockland Macquarie Park project distorts the Sydney pipeline MW totals; a second Stockland entity (Stockland Development Pty Limited) also holds the Khartoum Road consent, so the group's NSW data centre position is currently spread across at least three site rows and two legal entities.","The SSD-10467 consent (archived), Stockland project pages, NSW Planning Portal node for the Stage 1 record",manual_review,4,open,,2026-09-18,,,VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
85,C,"Who actually decided the Talavera Road Data Centre Campus Expansion (SSD-24299707)? The published IPC consent carries '[Name of Commissioner]' template placeholders in its signature block and only a year ('Sydney 2023') in its execution line, while the portal registered the determination on 2024-01-19.","A published determination instrument that does not name its decision-maker fails the basic accountability test the rest of the sample passes, and it is the only IPC determination in the battery - the one consent NOT decided under ministerial delegation. The signing-to-registration gap (2023 instrument, January 2024 registration) is also the largest in the sample.",IPC determination records and published decisions list for SSD-24299707; GIPA request to IPC if not published,regulator_request,3,open,,2026-09-18,,,VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
