id,as_of,scope,metric_name,value,unit,basis,scenario,notes,fact_status,source_id,confidence,as_of_date
224,2026-09,NSW,nsw_dc_modifications_approved,14.0,count,actual,,14 of 17 determined modifications were Approved. One was Withdrawn (a scale reduction at 51 Huntingwood Drive) and two remain undetermined.,VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
225,2026-09,NSW,nsw_dc_modifications_materiality_4plus,5.0,count,actual,,"Modifications scored 4 or 5 for materiality, i.e. changing the capacity, generator or fuel envelope the original consent was assessed against: Roberts Road Mod 2 (additional generators and diesel storage), Eastern Creek Mod 2 (power consumption increase), Lane Cove West Mod 1 (fuel storage), Talavera Road Mod 1 (expansion), Roberts Road Mod 4 (operational infrastructure, undetermined).",VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
226,2026-08,NSW,nsw_dc_modifications_approved_aug2026,3.0,count,actual,,"Modifications approved between 5 and 28 August 2026, i.e. either side of the NSW Data Centre Guidelines taking effect on 17 August 2026: Eastern Creek Mod 2 (5 Aug, power consumption increase), Lanceley Place Mod 3 (11 Aug, fire access and switchroom), 51 Huntingwood Drive Mod 2 (28 Aug, design updates). None of the three is described as being assessed against the Guidelines, and the Guidelines themselves say nothing about modifications.",VERIFIED,SRC_NSWPORTAL_MODS,high,2026-09-18
227,2026,VIC,dfp_threshold_regional,10000000.0,AUD,actual,,Construction cost above which a data centre may access the Development Facilitation Program in regional Victoria.,REPORTED,SRC_GADENS_VIC,high,2026-09-18
228,2026,VIC,dfp_threshold_metro,20000000.0,AUD,actual,,"Construction cost above which a data centre may access the DFP in metropolitan Melbourne. Modern facilities routinely exceed both thresholds, so the DFP is effectively available to all significant proposals.",REPORTED,SRC_GADENS_VIC,high,2026-09-18
229,2021,VIC,nextdc_m3_original_objections,80.0,count,actual,,"Objections to the original NEXTDC M3 permit at West Footscray, assessed through the standard council pathway. Approved by Maribyrnong City Council in 2021.",REPORTED,SRC_GADENS_VIC,high,2026-09-18
230,2026-08,VIC,nextdc_m3_expansion_objections_dfp,5.0,count,actual,,"Objections to the NEXTDC M3 EXPANSION lodged through the DFP, including one from Maribyrnong City Council. Determined by the Minister for Planning with no VCAT appeal available.",REPORTED,SRC_GADENS_VIC,high,2026-09-18
231,2026,Australia,dc_share_of_electricity_gadens,3.5,%,estimate,,"Gadens: data centres currently consume approximately 2-5% of Australia's electricity, forecast to triple by 2030-31 to approximately 15.6 TWh, about 6% of national demand. Midpoint of the stated range shown. Compare AEMO's own figure of about 2% today rising to about 6% by 2030 - the endpoints agree even though the framing differs.",REPORTED,SRC_GADENS_VIC,medium,2026-09-18
232,2031,Australia,dc_energy_forecast_gadens,15.6,TWh/yr,forecast_central,,"Gadens forecast for 2030-31, about 6% of national demand.",REPORTED,SRC_GADENS_VIC,medium,2026-09-18
233,2026-08,QLD,zerra_secured_capacity_global,920.0,MW,estimate,,"AGP, which owns Zerra DC, claims 920 MW of secured capacity across the US, India, Japan and Australia. Proponent claim.",CLAIMED,SRC_DCD_ZERRA,low,2026-09-18
234,2026-08,QLD,western_downs_phase1_substation,540.0,MVA,pipeline,,Phase 1 of Western Downs Digital Park includes a 540 MVA substation and an on-site battery-backed power conditioning system.,REPORTED,SRC_DCD_ZERRA,medium,2026-09-18
235,2026-08,QLD,western_downs_feedlot_head,24000.0,head,actual,,"The 725.5 ha site is currently a 24,000-head cattle feedlot owned by the Wambo Cattle Company. Relevant to the inquiry's terms of reference (f) on the opportunity cost of land conversion, and to agricultural land use conflict.",REPORTED,SRC_DCD_ZERRA,medium,2026-09-18
236,2026-06,NSW,kurri_kurri_dc_capacity,540.0,MW,pipeline,,"SEARs application for a 540 MW data centre on 21 ha at Loxford, connecting via two substations to the existing 132 kV Ausgrid line, adjacent to Snowy Hydro's 660 MW Kurri Kurri gas power station.",REPORTED,SRC_DCD_KURRI,high,2026-09-18
237,2020,NSW,loxford_waters_homes_displaced,2000.0,dwellings,estimate,,"The former Kurri Kurri smelter site was sold in 2020 to Stevens Group and McCloy Group to develop 'Loxford Waters', a 2,000-hectare suburb with 2,000 new homes plus industrial estates and a business park. The 540 MW data centre is now proposed on 21 ha of that site. Direct evidence for the inquiry's terms of reference (f)(iii)-(iv) on whether data centre resource demands impinge on new housing supply.",REPORTED,SRC_DCD_KURRI,medium,2026-09-18
238,2026-08,QLD,wddp_it_load,2160.0,MW,pipeline,,"From the lodged Town Planning Report: the ultimate campus is designed to support approximately 2,160 MW of IT load across six data buildings, delivered in four stages.",VERIFIED,SRC_WDDP_TPR,high,2026-09-18
239,2026-08,QLD,wddp_total_facility_demand,3240.0,MVA,pipeline,,"From the lodged Town Planning Report: approximately 3,240 MVA total facility demand against 2,160 MW of IT load. Three 540 MVA transformers per stage with continuous N+1 redundancy.",VERIFIED,SRC_WDDP_TPR,high,2026-09-18
240,2026-08,QLD,wddp_implied_design_pue,1.5,ratio,estimate,,"DERIVED by the Observatory, not stated in the application: 3,240 MVA total facility demand divided by 2,160 MW IT load = 1.50 on an apparent-power basis, and higher once power factor is accounted for. For comparison the NSW Guidelines set dPUE ceilings of 1.25 or 1.3, recent NSW EISs range 1.15-1.4 averaging 1.3, and the most recent NSW application requirements specify 1.3. A design PUE of 1.5 means roughly 1,080 MW of the facility's demand is non-IT overhead - more than the entire IT load of the 612 MW NEXTDC S7 project. Consistent with choosing air cooling over evaporative cooling in a hot inland climate, which is the trade the S7 design change also made.",VERIFIED,SRC_WDDP_TPR,medium,2026-09-18
241,2026-08,QLD,wddp_data_hall_floor_space,144000.0,sqm,pipeline,,"Four stages each with a 36,000 sqm data hall. The report describes 'four large Research and Technology Industry buildings delivered across four stages' while the capacity paragraph says 'six data buildings' - an unresolved internal inconsistency in the lodged document.",VERIFIED,SRC_WDDP_TPR,high,2026-09-18
242,2026-08,QLD,wddp_construction_workforce,1500.0,workers,pipeline,,"Temporary workforce accommodation for up to 1,500 construction workers during construction of all stages, with a temporary hub and an on-site concrete batching plant operational for the duration.",VERIFIED,SRC_WDDP_TPR,high,2026-09-18
243,2026-08,QLD,wddp_nearest_town_water_km,1.0,km,estimate,,"The report states there is no reticulated town water network in the vicinity of the site, the nearest reticulated water infrastructure being approximately this distance - the sentence is truncated in the decoded extract and the figure must be re-read from the source PDF before publication. Primary potable supply is by road tanker to on-site storage tanks.",VERIFIED,SRC_WDDP_TPR,low,2026-09-18
244,2026-08,QLD,wddp_adjacent_gas_capacity,981.4,MW,actual,,"Existing fossil generation adjacent to the site as described in the application: Braemar 1 (~504 MW) and Braemar 2 (~450 MW), fuelled by natural gas and coal seam gas, plus the APA-operated Daandine CGPF (~27.4 MW). The report acknowledges supply 'via the gas power stations and generators' while also describing the locality as one of the largest renewable energy hubs. Snowy Hydro's 660 MW Kurri Kurri station is NOT here - that is the separate NSW project.",VERIFIED,SRC_WDDP_TPR,high,2026-09-18
245,2026-08,NSW,fresh_spv_days_before_lodgement_wddp,4.0,days,actual,,"Zerra WDDP Asset Manager Pty Ltd and Zerra WDDP Investments AU Pty Ltd were both registered on 10 August 2026, four days before the Town Planning Report was dated (14 August) and eight or nine days before lodgement (18-19 August). Zerra Operator FinCo Pty Ltd followed on 5 August 2026. Neither project SPV is registered for GST. Compare the Mamre Road proponent stack: KNBDC AU Financing Holdco (3 April 2025), KNBDC AU Development (15 May 2025), and the SYD4 Land, Hold and Intermediate Hold Trusts (all 19 June 2025). Two of Australia's three largest data centre proposals are fronted by purpose-built SPVs incorporated days or weeks before lodgement, with no operating history and no publicly disclosed ownership.",VERIFIED,SRC_ABR_ZERRA,high,2026-09-18
246,2020-07-14,NSW,ssd_10330_genset_installed_mw,170.0,MW,actual,,"Roberts Road Data Centre (SSD-10330), applicant Canberra Data Centres Pty Ltd. From the signed consent.",VERIFIED,SRC_SSD10330_CONSENT,high,2026-09-18
247,2020-07-14,NSW,ssd_10330_generator_hours_cap,200.0,hours/yr,actual,,"Roberts Road Data Centre (SSD-10330), applicant Canberra Data Centres Pty Ltd. From the signed consent.",VERIFIED,SRC_SSD10330_CONSENT,high,2026-09-18
248,2020-07-14,NSW,ssd_10330_diesel_storage_cap_t,2000.0,tonnes,actual,,"Roberts Road Data Centre (SSD-10330), applicant Canberra Data Centres Pty Ltd. From the signed consent.",VERIFIED,SRC_SSD10330_CONSENT,high,2026-09-18
249,2024-12-20,NSW,ssd_59416728_genset_installed_mw,181.92,MW,actual,,"Davis Road Data Centre (Cundall), Wetherill Park (SSD-59416728), applicant Cundall Johnston and Partners Pty Ltd. From the signed consent.",VERIFIED,SRC_SSD59416728_CONSENT,high,2026-09-18
250,2024-12-20,NSW,ssd_59416728_generator_hours_cap,200.0,hours/yr,actual,,"Davis Road Data Centre (Cundall), Wetherill Park (SSD-59416728), applicant Cundall Johnston and Partners Pty Ltd. From the signed consent.",VERIFIED,SRC_SSD59416728_CONSENT,high,2026-09-18
251,2024-12-20,NSW,ssd_59416728_total_power_cap_mw,160.85,MW,actual,,"Davis Road Data Centre (Cundall), Wetherill Park (SSD-59416728), applicant Cundall Johnston and Partners Pty Ltd. From the signed consent.",VERIFIED,SRC_SSD59416728_CONSENT,high,2026-09-18
252,2026,NSW,dci_poplars_genset_installed_mw,35.0,MW,actual,,"DCI Poplars Data Centre Project (DCI Poplars), applicant The Trustee for NineZero DC Sub Trust I. From the signed consent.",VERIFIED,SRC_DCI_POPLARS_CONSENT,high,2026-09-18
253,2026,NSW,dci_poplars_generator_hours_cap,200.0,hours/yr,actual,,"DCI Poplars Data Centre Project (DCI Poplars), applicant The Trustee for NineZero DC Sub Trust I. From the signed consent.",VERIFIED,SRC_DCI_POPLARS_CONSENT,high,2026-09-18
254,2026,NSW,dci_poplars_diesel_storage_cap_t,2000.0,tonnes,actual,,"DCI Poplars Data Centre Project (DCI Poplars), applicant The Trustee for NineZero DC Sub Trust I. From the signed consent.",VERIFIED,SRC_DCI_POPLARS_CONSENT,high,2026-09-18
255,2026-09-16,NSW,ssd_73761707_genset_installed_mw,267.45,MW,actual,,"Glendenning Road Data Centre (SSD-73761707), applicant Lehr Consultants International (Australia) Pty Ltd. From the signed consent.",VERIFIED,SRC_SSD73761707_CONSENT,high,2026-09-18
256,2026-09-16,NSW,ssd_73761707_generator_hours_cap,170.0,hours/yr,actual,,"Glendenning Road Data Centre (SSD-73761707), applicant Lehr Consultants International (Australia) Pty Ltd. From the signed consent.",VERIFIED,SRC_SSD73761707_CONSENT,high,2026-09-18
257,2026-09-16,NSW,ssd_73761707_diesel_storage_cap_t,2000.0,tonnes,actual,,"Glendenning Road Data Centre (SSD-73761707), applicant Lehr Consultants International (Australia) Pty Ltd. From the signed consent.",VERIFIED,SRC_SSD73761707_CONSENT,high,2026-09-18
258,2026-09-16,NSW,ssd_73761707_total_power_cap_mw,235.0,MW,actual,,"Glendenning Road Data Centre (SSD-73761707), applicant Lehr Consultants International (Australia) Pty Ltd. From the signed consent.",VERIFIED,SRC_SSD73761707_CONSENT,high,2026-09-18
259,2026-09,NSW,consents_with_200_hour_condition_sample_of_4,3.0,count,actual,,"SUPERSEDED BY RG-060, which extended this to all 20 determined consents (after the 2026-09-18 pypdf re-extraction: 17 of 20 carry a generator hours cap, 14 of them the 200 hour template value). Retained as the four-consent sample. Three of the four consents read - Roberts Road (2020), Davis Road (2024) and DCI Poplars - cap generator operation at exactly 200 hours per year including testing. This settles the status of the '200-hour loophole': it is not merely the absence of a regulation, it is a STANDARD CONSENT CONDITION the Department has written into data centre consents since at least 2020, matching the figure the NSW Data Centre Guidelines describe as the current unregulated window. Glendenning (2026) is the first departure, at 170 hours.",VERIFIED,SRC_SSD10330_CONSENT,high,2026-09-18
260,2026-09,NSW,consents_with_renewable_condition_sample_of_4,1.0,count,actual,,"Within this four-consent sample, only Glendenning Road (signed 14 September 2026, determined 16 September) contains a renewable procurement condition - the full RG-060 battery finds such conditions in 5 of 20. Roberts Road (2020), Davis Road (2024) and DCI Poplars contain NO power purchase agreement, renewable procurement, additionality or matching condition of any kind. The all-times additional firmed renewable requirement is therefore brand new in NSW consents, not established practice - which means it cannot be assumed to appear in the next consent either (RG-038 stays open as a monitoring task).",VERIFIED,SRC_SSD73761707_CONSENT,high,2026-09-18
261,2026-09,NSW,consents_with_pue_or_wue_sample_of_4,1.0,count,actual,,"Only Glendenning Road mentions PUE or WUE at all, and even there it is an annual reporting and continual-improvement obligation with NO numeric ceiling. The NSW Guidelines' dPUE bands of <=1.25 / <=1.3 and their dWUE bands do not appear in any of the four consents.",VERIFIED,SRC_SSD73761707_CONSENT,high,2026-09-18
262,2026-09,NSW,consents_with_nox_mass_cap_sample_of_4,1.0,count,actual,,"Only Glendenning Road imposes an absolute NOx mass cap (below 10 t/yr as NO2-equivalent), a stack height (45 m vertical) or annual emissions testing. The three earlier consents contain none of the three.",VERIFIED,SRC_SSD73761707_CONSENT,high,2026-09-18
263,2026-09,NSW,backup_exceeds_load_sample_of_4,4.0,count,actual,,"In every consent where both figures are stated, installed back-up generating capacity EXCEEDS the facility's total power consumption cap: Glendenning 267.45 MW installed against 235 MW (ratio 1.14); Davis Road 181.92 MW against 160.85 MW (ratio 1.13). Roberts Road caps installed back-up at 170 MW with no stated consumption cap; DCI Poplars at 35 MW. These are not standby reserves sized for a fraction of load - they are effectively parallel power stations sized to carry the whole facility. That reframes the diesel question entirely: the issue is not that generators might run 200 hours a year, it is that the installed capacity to run the entire data centre on diesel already exists behind every consent, and in three of the four cases is subject to no NOx mass cap and no stack height requirement.",VERIFIED,SRC_SSD59416728_CONSENT,high,2026-09-18
264,2026-09,NSW,applicants_that_are_operating_companies_sample_of_4,1.0,count,actual,,"Of four signed consents, exactly ONE names an operating data centre company as the applicant: Canberra Data Centres Pty Ltd at Roberts Road (2020). The other three name a consulting engineer (Cundall Johnston and Partners Pty Ltd at Davis Road, 2024), a planning and engineering consultancy (Lehr Consultants International (Australia) Pty Ltd at Glendenning Road, 2026), and a trust trustee (The Trustee for NineZero DC Sub Trust I at DCI Poplars). Adding Mamre Road's KNBDC SYD4 Pty Ltd and Western Downs' WDDP Pty Ltd, four of the six largest or most consequential Australian applications name an entity that is not an identifiable operator. The trend is also chronological: the oldest consent is the only one naming a real operator.",VERIFIED,SRC_SSD59416728_CONSENT,high,2026-09-18
265,2026-08,NSW,guidelines_sears_commitment_months,2.0,months,actual,,"Section 3 commitment to provide Secretary's Environmental Assessment Requirements within two months, proportional to the assessment rather than a generalised list.",VERIFIED,SRC_NSWGUIDE_S3,high,2026-09-18
266,2026-08,NSW,guidelines_da_assessment_commitment_days,75.0,days,actual,,"Section 3 commitment that development application assessment takes no longer than 75 days in state government hands, calculated per DPHI key performance indicators.",VERIFIED,SRC_NSWGUIDE_S3,high,2026-09-18
267,2026-09,NSW,consents_analysed_reliably,20.0,count,actual,,"20 of 20 signed consents extracted above the reliability floor, so their negative findings are safe to rely on. This is the denominator for every consents_with_* battery metric in this pack.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
268,2026-09,NSW,consents_extraction_limited,0.0,count,actual,,0 of 20 consents fell below the extraction reliability floor. Recorded so that nobody treats a keyword miss in them as evidence of absence. Cross-reference reports/extraction_audit.md.,VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
269,2026-09,NSW,consents_with_generator_hours_cap,17.0,count,actual,,"Of 20 reliably extracted signed consents, 17 contain a generator hours cap provision of any value. Distinct from consents_with_200_hour_generator_cap, which counts only the 200 hour template value - the gap between the two is where site-specific departures such as Glendenning's 170 hours live.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
270,2026-09,NSW,consents_with_renewable_ppa_additionality,5.0,count,actual,,"Of 20 reliably extracted signed consents for determined NSW data centre SSDs, 5 contain a renewable energy supply or power purchase agreement condition. Population: all 20 determined and approved data centre SSDs on the NSW Planning Portal as at 18 September 2026; every instrument extracted above the reliability floor after the 2026-09-18 pypdf re-extraction, so this count is complete for the population.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
271,2026-09,NSW,consents_with_pue,7.0,count,actual,,"Of 20 reliably extracted signed consents for determined NSW data centre SSDs, 7 contain any PUE or power usage effectiveness provision. Population: all 20 determined and approved data centre SSDs on the NSW Planning Portal as at 18 September 2026; every instrument extracted above the reliability floor after the 2026-09-18 pypdf re-extraction, so this count is complete for the population.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
272,2026-09,NSW,consents_with_wue,4.0,count,actual,,"Of 20 reliably extracted signed consents for determined NSW data centre SSDs, 4 contain any WUE or water usage effectiveness provision. Population: all 20 determined and approved data centre SSDs on the NSW Planning Portal as at 18 September 2026; every instrument extracted above the reliability floor after the 2026-09-18 pypdf re-extraction, so this count is complete for the population.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
273,2026-09,NSW,consents_with_recycled_or_nonpotable_water,5.0,count,actual,,"Of 20 reliably extracted signed consents for determined NSW data centre SSDs, 5 contain a recycled or non-potable water provision. Population: all 20 determined and approved data centre SSDs on the NSW Planning Portal as at 18 September 2026; every instrument extracted above the reliability floor after the 2026-09-18 pypdf re-extraction, so this count is complete for the population.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
274,2026-09,NSW,consents_with_nox_mass_cap,2.0,count,actual,,"Of 20 reliably extracted signed consents for determined NSW data centre SSDs, 2 contain an absolute NOx mass cap (tonnes per year). Both instances verified by reading the condition text: Glendenning Road B14(b) below 10 t/yr as NO2-equivalent with 45 m stacks, excluding unplanned outage events; NEXTDC S4 Horsley Park below 5.5 t/yr as NO2-equivalent INCLUDING testing and commissioning, with 38.7 m stacks. Population: all 20 determined and approved data centre SSDs on the NSW Planning Portal as at 18 September 2026; every instrument extracted above the reliability floor after the 2026-09-18 pypdf re-extraction, so this count is complete for the population.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
275,2026-09,NSW,consents_with_nox_concentration_limit,0.0,count,actual,,"Of 20 reliably extracted signed consents for determined NSW data centre SSDs, 0 contain an NOx concentration limit (mg/m3). Note this pattern returned zero across all 18 consents, but Glendenning B13 requires compliance with the POEO (Clean Air) Regulation 2022 which incorporates the Group 6 concentration limits by reference, so zero here means 'no numerically stated concentration limit', not 'no concentration obligation'. Population: all 20 determined and approved data centre SSDs on the NSW Planning Portal as at 18 September 2026; every instrument extracted above the reliability floor after the 2026-09-18 pypdf re-extraction, so this count is complete for the population.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
276,2026-09,NSW,consents_with_stack_height,3.0,count,actual,,"Of 20 reliably extracted signed consents for determined NSW data centre SSDs, 3 contain a generator stack height requirement. Population: all 20 determined and approved data centre SSDs on the NSW Planning Portal as at 18 September 2026; every instrument extracted above the reliability floor after the 2026-09-18 pypdf re-extraction, so this count is complete for the population.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
277,2026-09,NSW,consents_with_annual_emissions_testing,6.0,count,actual,,"Of 20 reliably extracted signed consents for determined NSW data centre SSDs, 6 contain an annual emissions testing requirement. Population: all 20 determined and approved data centre SSDs on the NSW Planning Portal as at 18 September 2026; every instrument extracted above the reliability floor after the 2026-09-18 pypdf re-extraction, so this count is complete for the population.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
278,2026-09,NSW,consents_with_tier_standard,2.0,count,actual,,"Of 20 reliably extracted signed consents for determined NSW data centre SSDs, 2 contain any reference to a US EPA Tier standard or best available technology. Population: all 20 determined and approved data centre SSDs on the NSW Planning Portal as at 18 September 2026; every instrument extracted above the reliability floor after the 2026-09-18 pypdf re-extraction, so this count is complete for the population.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
279,2026-09,NSW,consents_with_guidelines_cited,0.0,count,actual,,"Of 20 reliably extracted signed consents for determined NSW data centre SSDs, 0 contain any citation of the NSW Data Centre Guidelines. Population: all 20 determined and approved data centre SSDs on the NSW Planning Portal as at 18 September 2026; every instrument extracted above the reliability floor after the 2026-09-18 pypdf re-extraction, so this count is complete for the population.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
280,2026-09,NSW,consents_with_diesel_storage_cap,14.0,count,actual,,"Of 20 reliably extracted signed consents for determined NSW data centre SSDs, 14 contain a diesel storage cap. Population: all 20 determined and approved data centre SSDs on the NSW Planning Portal as at 18 September 2026; every instrument extracted above the reliability floor after the 2026-09-18 pypdf re-extraction, so this count is complete for the population.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
281,2026-09,NSW,consents_with_installed_genset_cap,14.0,count,actual,,"Of 20 reliably extracted signed consents for determined NSW data centre SSDs, 14 contain a cap on total installed back-up generating capacity. Population: all 20 determined and approved data centre SSDs on the NSW Planning Portal as at 18 September 2026; every instrument extracted above the reliability floor after the 2026-09-18 pypdf re-extraction, so this count is complete for the population.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
282,2026-09,NSW,consents_with_battery_storage,8.0,count,actual,,"Of 20 reliably extracted signed consents for determined NSW data centre SSDs, 8 contain a battery storage provision. Population: all 20 determined and approved data centre SSDs on the NSW Planning Portal as at 18 September 2026; every instrument extracted above the reliability floor after the 2026-09-18 pypdf re-extraction, so this count is complete for the population.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
283,2026-09,NSW,consents_with_website_disclosure,19.0,count,actual,,"Of 20 reliably extracted signed consents for determined NSW data centre SSDs, 19 contain a website public disclosure requirement. Population: all 20 determined and approved data centre SSDs on the NSW Planning Portal as at 18 September 2026; every instrument extracted above the reliability floor after the 2026-09-18 pypdf re-extraction, so this count is complete for the population.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
284,2026-09,NSW,consents_with_200_hour_generator_cap,14.0,count,actual,,"Distribution of generator hours caps across the 20 reliably extracted consents: 200 hours in 14, 170 hours in 1, 187 hours in 1, 173 hours in 1. The 200 hour figure is the overwhelming standard, which confirms it is a Department template condition rather than a site-specific assessment outcome, and matches the window the NSW Data Centre Guidelines describe as free of point source NOx limits.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
285,2026-09,NSW,consents_where_backup_exceeds_load,6.0,count,actual,,"In every consent that states both an installed back-up generating capacity cap and a total power consumption cap, the back-up capacity EXCEEDS the load: Glendenning Road 267.45 MW against 235.0 MW (ratio 1.14); Davis Road (Cundall) 181.92 MW against 160.85 MW (ratio 1.13); NEXTDC S4 Horsley Park 360.0 MW against 294.0 MW (ratio 1.22); Project Pluto 170.0 MW against 100.0 MW (ratio 1.70); Project Apollo Macquarie Park 185.0 MW against 135.0 MW (ratio 1.37); Apollo Place 63.8 MW against 45.0 MW (ratio 1.42). These are parallel power stations sized to carry the whole facility, not standby reserves. 51 Huntingwood Drive caps installed back-up at 632 MW with no stated consumption cap, the largest in the sample.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
286,2026-09,NSW,consents_naming_an_operating_company,4.0,count,actual,,"All 20 Schedule 1 applicants now parse (RG-065 resolved 2026-09-18). 4 companies operating data centres or holding the asset in their own group name hold 5 of the 20 consents: Canberra Data Centres Pty Ltd (Roberts Road); NEXTDC Limited (S4 Horsley Park); Macquarie Data Centres Pty Ltd (Talavera Road); Goodman Property Services (Aust) Pty Limited/Ltd (Project Apollo AND Project Pluto - one company, two consents). Equinix is resolvable through its project SPV (Equinix Hyperscale 2 (SY10) Pty Limited, Grand Avenue). The rest: TWO property-group entities (Stockland Development Pty Limited at Khartoum Road; Stockland Trust Management Limited at Macquarie Park); one listed end-user (Dicker Data Limited, a warehouse and distribution centre); SEVEN consents held by consultancies or an architectural practice (ARUP Pty Ltd at Turner Road and ARUP Australia Pty Ltd at Echidna - two distinct Arup legal entities; Cundall Johnston and Partners at Davis Road original and Mod 1; Lehr Consultants at Glendenning Road and Station Road; Greenbox Architecture at Lane Cove West); and FOUR held by opaque vehicles (EMKC Cubed Management Pty Ltd twice, HDI SYD1 Property Holdings Limited, The Trustee for NineZero DC Sub Trust I). So in 11 of 20 consents the legal person responsible for every condition is either a consultancy or an entity whose controller is not disclosed on the instrument.",VERIFIED,SRC_NSWPORTAL_CONSENTS,high,2026-09-18
287,2026,Australia,bca_member_ceos,120.0,count,actual,,"The BCA states it represents more than 120 chief executives from leading companies across a wide range of sectors, and describes itself as representing Australia's largest employers.",VERIFIED,SRC_BCA_ABOUT,high,2026-09-18
288,2026,Australia,bca_board_data_centre_seats,1.0,count,actual,,"One of nine published BCA board seats is held by a data centre operator: Robin Khuda, founder and CEO of AirTrunk. The other non-executive seats carry Telstra, Commonwealth Bank, Wesfarmers, Google Australia and New Zealand, BHP Australia and Gilbert + Tobin.",VERIFIED,SRC_BCA_ABOUT,high,2026-09-18
289,2026,Australia,bca_board_hyperscaler_members,4.0,count,actual,,"Amazon, Apple, Google and AirTrunk are all BCA members per the published membership logos, and Google Australia and New Zealand's managing director sits on the board. So all four hyperscalers that are absent from every NSW planning record the Observatory harvested have coordinated policy representation through the BCA - which is the most likely answer to RG-023's puzzle about where hyperscaler influence is exercised, if not where their buildings are.",VERIFIED,SRC_BCA_ABOUT,high,2026-09-18
290,2025,Australia,aem_dc_connection_requests_gw,44.0,GW,enquiry,,Oxford Economics for the BCA: AEMO received around 44 GW of connection requests linked to data centre proposals in 2025. Compare Transgrid alone reporting 20 GW of large-load enquiries and 10 GW within a 12 km radius of Sydney West since late 2024.,REPORTED,SRC_BCA_SUB116,medium,2026-09-18
291,2025,Australia,dc_expected_to_proceed_gw,6.0,GW,estimate,,"Oxford Economics for the BCA: of the 44 GW of requests, about 6 GW of project capacity is expected to proceed.",REPORTED,SRC_BCA_SUB116,medium,2026-09-18
292,2025,Australia,dc_actual_draw_at_maturity_gw,2.8,GW,estimate,,"Oxford Economics for the BCA: only 2.8 GW of actual electricity draw once facilities reach maturity, described as '15 times lower than what is sometimes reported'. This is the most important single number in the whole pipeline debate and it comes from industry-commissioned research: it means neither 44 GW nor 20 GW should be reported as demand. It is also consistent with AEMO's own position and with the 20 per cent proceeds-likelihood that NSW utilities gave the government.",REPORTED,SRC_BCA_SUB116,medium,2026-09-18
293,2026,Australia,dc_water_use_gl_per_year,5.5,GL/yr,estimate,,"BCA Submission No 116: data centres consume around 5.5 gigalitres of water a year nationally, approximately 0.04 per cent of national potable water use and about 0.7 per cent of total Sydney water consumption, with industry projections that use remains below two per cent of total potable supply through 2030. THIS IS THE SOURCE of the 0.04 per cent figure that Data Centres Australia gave orally to the inquiry on 1 May 2026 - the two peak bodies are using the same numbers. Compare Sydney Water's projection of demand equivalent to about 25 per cent of Greater Sydney drinking water by 2035, built on applications actually received. For scale: the Mamre Road EIS alone claims 22.4 ML a year, so 5.5 GL is roughly 245 such facilities.",CLAIMED,SRC_BCA_SUB116,medium,2026-09-18
294,2030,Australia,dc_recycled_water_investment,0.8,AUD bn,forecast_central,,"BCA: projected industry investment in recycled water infrastructure of $500 million to $1.1 billion by 2030; midpoint shown. The submission argues this benefits the broader community and that in NSW 'access remains constrained', so policy should support broader availability of recycled water for industrial users 'where demand and funding are already place'. That is the same infrastructure-sequencing failure the Observatory identified independently at NEXTDC S7, where recycled water was abandoned because pipeline planning permission was unavailable - and here the industry is asking government to fix it, which is a point of agreement rather than conflict.",CLAIMED,SRC_BCA_SUB116,medium,2026-09-18
